user_id,start_hub,start_latitude,start_longitude,end_hub,end_latitude,end_longitude,total_distance,total_cost,start_time_iso,end_time_iso
484319,GEORGIA TECH -BOBBY DODD STADIUM,33.77147667,-84.39196,GEORGIA TECH - CLOUGH BUILDING,33.775275,-84.39623167,0.52,0.0,2017-09-14 07:37:00,2017-09-14 07:41:00
498005,MARTA - LENOX SQUARE,33.84550167,-84.35900333,TOWER PLACE - BUCKHEAD,33.84842,-84.37013833,1.19,0.0,2017-09-14 07:45:00,2017-09-14 07:59:00
529076,MARTA - NORTH AVE ,33.77229333,-84.38697,THE COCA-COLA COMPANY,33.76968167,-84.39629,0.76,0.0,2017-09-14 07:47:00,2017-09-14 07:58:00
496381,GEORGIA TECH - WEST CAMPUS HOUSING ,33.77867667,-84.40458833,GEORGIA TECH - CRC,33.775575,-84.40245,0.32,0.0,2017-09-14 07:50:00,2017-09-14 07:52:00
347127,GEORGIA TECH - CLOUGH BUILDING,33.77530667,-84.39616167,GEORGIA TECH - CRC,33.77555833,-84.40247667,0.45,0.0,2017-09-14 07:57:00,2017-09-14 08:01:00
493886,GEORGIA TECH -BOBBY DODD STADIUM,33.77148333,-84.39199667,GEORGIA TECH - CRC,33.77566,-84.40246833,0.79,0.0,2017-09-14 07:57:00,2017-09-14 08:05:00
341505,5TH & ARGONNE,33.775565,-84.37771167,GEORGIA TECH - CLOUGH BUILDING,33.77527333,-84.39628667,1.17,0.0,2017-09-14 08:00:00,2017-09-14 08:09:00
350341,GORDON-WHITE PARK,33.739095,-84.43177333,GEORGIA TECH - CRC,33.77559833,-84.40250833,4.6,0.0,2017-09-14 08:02:00,2017-09-14 08:27:00
440378,TECH PARKWAY,33.77767667,-84.40739833,GEORGIA TECH - CLOUGH BUILDING,33.77528833,-84.3963,0.94,0.0,2017-09-14 08:04:00,2017-09-14 08:13:00
358024,TECH SQUARE ,33.77668833,-84.38900667,MARTA - ARTS CENTER ,33.78935667,-84.38665,1.1,0.0,2017-09-14 08:05:00,2017-09-14 08:11:00
530010,AUC - WOODRUFF LIBRARY,33.75203333,-84.41334,AUC - WOODRUFF LIBRARY,33.752005,-84.4133,0.11,0.0,2017-09-14 08:11:00,2017-09-14 08:15:00
